1413393886220760576,0.00036,0.00191,-0.00887,0.59281,-0.00711,-0.80531,0.00164,
1413393886510760448,0.00012,0.00160,-0.00258,0.58816,-0.00483,-0.80873,0.00047,
1413393886765760512,-0.00037,0.00307,-0.00044,0.58872,-0.00542,-0.80832,0.00113,
141339388720760576,-0.00041,0.00008,-0.00030,0.59017,-0.00530,-0.80726,0.00095,
1413393887270760448,-0.00096,0.00097,-0.00035,0.58963,-0.00547,-0.80766,0.00107,
1413393887560760576,0.00006,0.00135,0.00019,0.58944,-0.00543,-0.80779,0.00119,
1413393887770760448,-0.00096,0.00209,-0.00184,0.58987,-0.00557,-0.80748,0.00124,
141339388860760576,0.00001,-0.00141,0.00117,0.58992,-0.00535,-0.80744,0.00117,
1413393888315760384,-0.00170,0.00187,-0.00195,0.58948,-0.00523,-0.80777,0.00076,
1413393888570760448,-0.00084,-0.00006,0.00061,0.59003,-0.00503,-0.80736,0.00077,
1413393888860760576,-0.00008,0.00030,-0.00148,0.59020,-0.00497,-0.80724,0.00109,
1413393889115760384,-0.00070,0.00006,0.00018,0.59127,-0.00571,-0.80645,0.00137,
1413393889370760448,-0.00093,0.00522,0.00107,0.58885,-0.00564,-0.80822,0.00158,
1413393889660760576,0.00438,0.00549,0.00242,0.56869,-0.00728,-0.82251,-0.00282,
1413393889915760384,0.01085,0.01798,0.07123,0.55621,0.00612,-0.83054,-0.02817,
1413393890170760448,-0.01659,0.06588,0.22308,0.57659,0.00623,-0.81645,-0.03020,
1413393890275760384,-0.04469,0.07231,0.27471,0.58203,-0.00068,-0.81286,-0.02213,
1413393890465760512,-0.08989,0.11353,0.30477,0.58711,-0.00891,-0.80937,-0.01190,
1413393890635760384,-0.12790,0.14971,0.30585,0.61034,-0.01166,-0.79201,-0.00769,
1413393890770760448,-0.16123,0.16413,0.30968,0.60037,-0.00925,-0.79958,-0.01174,
1413393890960760576,-0.20620,0.16507,0.31341,0.58703,-0.00795,-0.80939,-0.01456,
1413393891160760576,-0.26148,0.17284,0.34330,0.58435,-0.00717,-0.81134,-0.01456,
